monday,藍莓,百香果,枇杷,黃金果,芒果,木瓜,荔枝,龍眼,釋迦,奇異果,鳳梨,蜜棗,葡萄,桃子,香蕉,柿子,酪梨,西瓜,草莓,桑椹,蓮霧,梅子,柑橘,金棗,文旦柚,梨子,番茄,香瓜,芭樂,紅龍果,李子
201609,233.35,59.921,0.0,97.408,123.498,33.219,0.0,63.033,62.122,81.645,23.397,0.0,93.636,137.571,35.654,80.875,82.107,11.157,222.2,0.0,132.407,0.0,31.419,0.0,22.238,56.825,50.547,42.632,48.722,41.219,100.229
201610,320.55,68.473,0.0,119.119,94.035,49.832,0.0,106.464,97.875,69.658,25.06,0.0,89.095,335.162,41.765,84.219,92.694,18.52,223.484,0.0,138.373,0.0,28.599,0.0,22.249,55.846,78.54,113.924,52.745,56.373,83.929
201611,232.982,64.973,0.0,90.467,38.88,55.297,0.0,158.363,86.228,69.593,25.382,0.0,74.808,0.0,55.215,63.624,97.307,29.21,281.821,0.0,89.56,0.0,30.884,63.82,16.944,63.214,123.269,134.25,57.551,81.732,0.0
201612,199.539,56.003,0.0,175.225,49.167,49.284,0.0,187.985,71.061,63.006,25.868,0.0,138.51,0.0,72.937,47.999,126.381,20.052,372.197,0.0,75.005,0.0,31.883,75.281,13.123,63.158,78.952,83.944,69.922,102.989,0.0
201701,141.675,54.769,88.122,193.865,38.75,41.7,0.0,157.874,90.035,54.948,28.96,0.0,147.778,124.785,80.127,67.981,196.804,19.247,425.057,0.0,97.662,0.0,43.865,81.196,13.084,79.143,34.33,102.846,73.393,91.5,45.0
201702,153.007,81.267,92.288,145.676,47.338,37.547,0.0,132.008,124.979,57.935,31.804,0.0,79.727,90.15,85.387,53.027,281.475,36.743,386.437,0.0,132.822,0.0,59.342,83.823,0.0,95.267,22.631,66.07,72.671,79.632,63.317
201703,280.147,112.221,292.918,156.419,84.112,42.539,0.0,104.914,144.135,55.748,27.578,0.0,76.08,78.179,75.986,48.763,387.133,21.403,334.334,0.0,75.485,78.029,57.801,79.658,0.0,88.183,18.628,46.853,51.844,128.261,56.242
201704,320.438,152.31,381.036,145.231,89.801,48.569,105.0,207.5,159.841,50.641,25.744,0.0,69.327,67.08,70.493,240.0,225.672,14.962,239.416,40.615,64.77,59.066,41.775,63.917,0.0,120.991,15.53,91.28,22.749,177.536,50.31
201705,218.267,137.843,647.267,157.677,74.059,40.922,152.656,350.221,174.846,59.967,26.996,0.0,75.468,125.951,52.895,0.0,171.927,13.766,184.657,38.153,88.648,49.984,33.94,0.0,0.0,61.721,16.768,109.328,28.903,88.459,38.715
201706,204.933,69.923,0.0,100.368,44.83,32.327,81.565,0.0,0.0,69.347,22.321,119.7,186.618,74.897,34.469,0.0,91.497,14.701,266.7,30.0,65.46,0.0,32.267,0.0,0.0,48.156,36.111,76.131,35.582,54.085,63.459
201707,187.39,69.844,0.0,51.429,34.956,38.923,88.073,110.638,154.86,70.123,24.888,113.5,235.584,109.715,27.367,0.0,57.3,19.37,260.931,0.0,75.471,0.0,39.842,0.0,24.16,39.33,79.082,53.264,30.173,36.121,90.777
201708,141.617,57.769,0.0,49.139,34.886,35.269,70.591,62.287,65.148,71.816,34.809,64.467,202.91,107.644,24.99,69.614,78.271,12.89,266.7,0.0,121.765,0.0,28.774,150.0,34.321,45.44,67.674,42.472,30.373,39.64,77.811
201709,159.515,51.969,0.0,104.379,52.585,33.13,0.0,87.846,82.336,70.041,25.501,0.0,128.11,136.693,26.373,95.138,102.397,13.249,260.7,0.0,193.514,0.0,24.903,0.0,24.549,45.492,51.466,37.75,34.368,38.688,93.032
201710,156.356,47.757,0.0,91.517,62.416,30.654,0.0,105.473,79.147,63.647,27.167,0.0,110.551,342.68,26.884,83.739,106.527,13.517,222.2,0.0,120.349,0.0,29.82,0.0,15.898,48.499,53.442,72.837,30.274,33.46,76.778
201711,223.335,48.66,0.0,139.283,45.277,47.571,0.0,125.769,95.862,65.957,25.204,0.0,85.416,0.0,35.721,77.902,90.967,13.647,212.71,0.0,70.064,0.0,34.033,70.8,13.683,56.113,60.485,55.53,39.745,63.343,75.433
201712,261.791,41.91,0.0,126.26,56.68,36.31,0.0,156.723,84.258,58.19,26.421,0.0,99.737,0.0,37.197,60.275,119.969,12.326,285.831,0.0,82.814,0.0,22.397,66.268,12.183,52.105,52.695,80.03,31.377,53.471,63.325
